consecutivo;genero;fecha_nac;carrera;PAPA;estrato;computador_mesa;portatil;internet;smartphone;origen_covid_19;estad_gov;habito_1;habito_2;habito_3;habito_4;habito_5;habito_6;habito_7;habito_8;habito_9;habito_10;habito_11;habito_12;habito_13;habito_14;habito_15;habito_16;habito_17;aleatorio
32;Masculino;1/01/1994;Ingenieria de Sistemas E Informatica;4.1;3;No;propio.;Plan de datos;propio.;Fue un resultado de pasar el virus de animales a los humanos.;NA;Tomas notas transcribiendo los ejercicios en clase.;Selecciona un lugar fijo de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5
33;Masculino;29/01/2003;Estadistica;3.6;3;propio.;No;propio.;propio.;"Fue un resultado de pasar el virus de animales a los humanos.
Fue fabricado en un laboratorio.";No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su musica favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia varios temas distintos en una misma sesion de estudio.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;8
34;Masculino;22/09/1999;Ingenieria de Sistemas E Informatica;3.4;1;No;propio.;propio.;No;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su musica favorita mientras estudia.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;NA;NA;2
35;Masculino;12/08/2020;Ingenieria Fisica;3.5;2;No;propio.;Contrabando;propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capitulo del libro texto.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el dia anterior del examen.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;5
36;Masculino;8/05/1997;Ingenieria de Sistemas E Informatica;4.5;3;No;propio.;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;Si;Tomas notas transcribiendo los ejercicios en clase.;Estudia varios temas distintos en una misma sesion de estudio.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8
37;Masculino;24/10/2001;Estadistica;3.5;3;No;propio.;familiar;propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Usa los solucionarios para ver los ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9
38;Femenino;2/11/2003;Estadistica;3.6;2;No;propio.;propio.;propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su musica favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;7
39;Masculino;19/05/1994;Estadistica;4.2;2;No;propio.;Plan de datos;propio.;NA;Si;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Lee varias veces un mismo capitulo del libro texto.;Estudia solo.;Estudia todo el tema el dia anterior del examen.;Trasnocha estudiando para un examen.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
40;Femenino;2/02/1989;Estadistica;3.8;2;No;propio.;familiar;propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su musica favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia varios temas distintos en una misma sesion de estudio.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;9
41;Masculino;19/01/1999;Estadistica;3.0;2;No;propio.;familiar;propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su musica favorita mientras estudia.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el dia anterior del examen.;Trasnocha estudiando para un examen.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;1
